17:42:44 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
10152	16677	17449	1377	1238	4094	4085	275	4085
10153	16677	17448	1375	1236	4099	4087	275	4087
10150	16676	17450	1379	1241	4065	4090	275	4090
10152	16678	17453	1378	1242	4019	4084	276	4084
10152	16678	17449	1378	1238	4116	4067	276	4067
10153	16677	17448	1375	1236	4099	4080	275	4080
10150	16676	17449	1379	1240	4089	4084	276	4084
10152	16677	17449	1377	1238	4094	4086	275	4086
10154	16678	17449	1375	1236	4099	4088	275	4088
10152	16676	17448	1376	1237	4096	4090	275	4090
10152	16677	17450	1377	1239	4070	4092	275	4092
10152	16675	17448	1375	1237	4075	4086	275	4086
10151	16677	17448	1378	1238	4116	4084	276	4084
10151	16677	17449	1378	1239	4092	4092	275	4092
10151	16676	17448	1377	1238	4094	4092	275	4092
10150	16676	17449	1379	1240	4089	4092	275	4092
10151	16677	17450	1378	1240	4067	4091	275	4091
10154	16677	17448	1374	1235	4101	4085	275	4085
10153	16677	17448	1375	1236	4099	4089	275	4089
10151	16677	17451	1378	1241	4043	4092	275	4092
10154	16678	17449	1375	1236	4099	4080	275	4080
10152	16676	17448	1376	1237	4096	4084	275	4084
10151	16675	17447	1376	1237	4096	4087	275	4087
10150	16676	17448	1379	1239	4113	4090	275	4090
10150	16676	17450	1379	1241	4065	4095	275	4095
10153	16679	17451	1377	1239	4070	4088	275	4088
10152	16676	17447	1376	1236	4121	4083	275	4083
10151	16676	17448	1377	1238	4094	4093	275	4093
10150	16675	17448	1378	1239	4092	4093	275	4093
10151	16676	17448	1377	1238	4094	4093	275	4093
10151	16676	17448	1377	1238	4094	4093	275	4093
10152	16676	17448	1376	1237	4096	4093	275	4093
10151	16675	17447	1376	1237	4096	4094	275	4094
10150	16675	17448	1378	1239	4092	4095	275	4095
10151	16676	17449	1377	1239	4070	4094	275	4094
10154	16679	17451	1376	1238	4072	4088	275	4088
10154	16678	17449	1375	1236	4099	4084	275	4084
10150	16675	17447	1378	1238	4116	4088	275	4088
10151	16676	17447	1377	1237	4118	4095	275	4095
10153	16678	17449	1376	1237	4096	4100	274	4100
10151	16676	17448	1377	1238	4094	4099	274	4099
10151	16676	17448	1377	1238	4094	4098	275	4098
10151	16676	17448	1377	1238	4094	4097	275	4097
10151	16676	17448	1377	1238	4094	4096	275	4096
10153	16678	17450	1376	1238	4072	4096	275	4096
10153	16676	17447	1374	1235	4101	4090	275	4090
10150	16675	17448	1378	1239	4092	4093	275	4093
10151	16677	17451	1378	1241	4043	4092	275	4092
10154	16678	17448	1375	1235	4123	4080	275	4080
10151	16676	17447	1377	1237	4118	4091	275	4091
10150	16675	17447	1378	1238	4116	4098	275	4098
10151	16676	17448	1377	1238	4094	4102	274	4102
10152	16676	17448	1376	1237	4096	4100	274	4100
10151	16675	17448	1376	1238	4072	4099	274	4099
10152	16677	17449	1377	1238	4094	4092	275	4092
10152	16676	17448	1376	1237	4096	4093	275	4093
10151	16676	17448	1377	1238	4094	4094	275	4094
10153	16676	17447	1374	1235	4101	4094	274	4094
10151	16675	17447	1376	1237	4096	4095	275	4095
10152	16677	17449	1377	1238	4094	4096	275	4096
10151	16676	17448	1377	1238	4094	4095	275	4095
10151	16676	17448	1377	1238	4094	4095	275	4095
10151	16676	17448	1377	1238	4094	4095	275	4095
10150	16675	17448	1378	1239	4092	4094	275	4094
10151	16676	17447	1377	1237	4118	4094	275	4094
10151	16676	17449	1377	1239	4070	4100	274	4100
10154	16678	17449	1375	1236	4099	4092	275	4092
10153	16678	17449	1376	1237	4096	4094	275	4094
10151	16676	17448	1377	1238	4094	4095	275	4095
10150	16675	17448	1378	1239	4092	4094	275	4094
10152	16677	17450	1377	1239	4070	4094	275	4094
10153	16679	17450	1377	1238	4094	4088	275	4088
10152	16677	17448	1377	1237	4118	4089	275	4089
10152	16677	17448	1377	1237	4118	4097	275	4097
10152	16677	17448	1377	1237	4118	4102	274	4102
10152	16677	17448	1377	1237	4118	4106	274	4106
10152	16676	17447	1376	1236	4121	4109	274	4109
10151	16676	17449	1377	1239	4070	4112	274	4112
10153	16678	17450	1376	1238	4072	4101	274	4101
10152	16675	17447	1375	1236	4099	4094	274	4094
10151	16677	17449	1378	1239	4092	4095	275	4095
10152	16677	17448	1377	1237	4118	4095	275	4095
10152	16676	17447	1376	1236	4121	4100	274	4100
10152	16677	17448	1377	1237	4118	4106	274	4106
10152	16676	17447	1376	1236	4121	4109	274	4109
10150	16675	17449	1378	1240	4067	4112	274	4112
10151	16676	17447	1377	1237	4118	4100	274	4100
10152	16677	17449	1377	1238	4094	4105	274	4105
10150	16675	17447	1378	1238	4116	4102	274	4102
10151	16676	17449	1377	1239	4070	4106	274	4106
10151	16676	17448	1377	1238	4094	4097	275	4097
10151	16675	17448	1376	1238	4072	4096	275	4096
10151	16676	17449	1377	1239	4070	4090	275	4090
10152	16676	17448	1376	1237	4096	4085	275	4085
10151	16676	17447	1377	1237	4118	4088	275	4088
10151	16676	17448	1377	1238	4094	4095	275	4095
10151	16676	17448	1377	1238	4094	4095	275	4095
10152	16677	17449	1377	1238	4094	4095	275	4095
10152	16675	17448	1375	1237	4075	4094	274	4094
10150	16675	17447	1378	1238	4116	4090	275	4090
10151	16676	17448	1377	1238	4094	4096	275	4096
10153	16677	17447	1375	1235	4123	4096	274	4096
10150	16676	17448	1379	1239	4113	4102	275	4102
10152	16676	17448	1376	1237	4096	4105	274	4105
10151	16675	17446	1376	1236	4121	4103	274	4103
10150	16675	17447	1378	1238	4116	4107	274	4107
10152	16676	17448	1376	1237	4096	4110	274	4110
10152	16676	17447	1376	1236	4121	4106	274	4106
10151	16676	17448	1377	1238	4094	4110	274	4110
10150	16675	17448	1378	1239	4092	4106	274	4106
10152	16677	17448	1377	1237	4118	4102	274	4102
10152	16676	17448	1376	1237	4096	4106	274	4106
10151	16675	17447	1376	1237	4096	4104	274	4104
10151	16676	17448	1377	1238	4094	4102	274	4102
10152	16677	17448	1377	1237	4118	4100	274	4100
10153	16678	17449	1376	1237	4096	4104	274	4104
10150	16675	17447	1378	1238	4116	4102	274	4102
10152	16676	17448	1376	1237	4096	4106	274	4106
10151	16676	17447	1377	1237	4118	4103	274	4103
10151	16674	17446	1375	1236	4099	4107	274	4107
10150	16675	17448	1378	1239	4092	4105	274	4105
10151	16676	17448	1377	1238	4094	4102	274	4102
10151	16676	17448	1377	1238	4094	4100	274	4100
10150	16675	17448	1378	1239	4092	4098	275	4098
10151	16676	17448	1377	1238	4094	4097	275	4097
17:49:34 - Sep 05, 2023
Raw P0	raw P1	raw P2	calc P1	calc P2	Curr.Div.	Av.Div.	PWM	Used Div.
 
10150	16675	17448	1378	1239	4092	4115	274	4115
10151	16677	17449	1378	1239	4092	4110	274	4110
10151	16676	17449	1377	1239	4070	4105	274	4105
10151	16677	17449	1378	1239	4092	4096	275	4096
10152	16677	17449	1377	1238	4094	4095	275	4095
10152	16677	17448	1377	1237	4118	4095	275	4095
10151	16676	17448	1377	1238	4094	4101	274	4101
10151	16675	17447	1376	1237	4096	4099	274	4099
10151	16677	17449	1378	1239	4092	4098	275	4098
10151	16675	17447	1376	1237	4096	4097	274	4097
10150	16675	17446	1378	1237	4140	4097	275	4097
10150	16676	17448	1379	1239	4113	4107	274	4107
10153	16678	17448	1376	1236	4121	4109	274	4109
10150	16675	17446	1378	1237	4140	4112	274	4112
10151	16675	17446	1376	1236	4121	4119	273	4119
10152	16678	17449	1378	1238	4116	4119	274	4119
10150	16677	17450	1380	1241	4087	4119	274	4119
10153	16678	17448	1376	1236	4121	4111	274	4111
10151	16675	17446	1376	1236	4121	4113	274	4113
10150	16674	17446	1377	1237	4118	4115	274	4115
10149	16675	17448	1379	1240	4089	4116	274	4116
10151	16676	17447	1377	1237	4118	4109	274	4109
10150	16675	17447	1378	1238	4116	4111	274	4111
10151	16675	17447	1376	1237	4096	4113	274	4113
10151	16676	17447	1377	1237	4118	4108	274	4108
10150	16675	17446	1378	1237	4140	4111	274	4111
10152	16676	17447	1376	1236	4121	4118	273	4118
10150	16676	17447	1379	1238	4137	4119	274	4119
10151	16675	17446	1376	1236	4121	4123	273	4123
10150	16675	17447	1378	1238	4116	4123	273	4123
10150	16675	17447	1378	1238	4116	4121	273	4121
10152	16677	17447	1377	1236	4142	4120	273	4120
